Title,Author,Year,Source title,Cited by,Document Type,Language,Testo della Ricerca
"A Novel Methodology to Develop STEAM Projects According to National Curricula","Montés N.; Zapatera A.; Ruiz F.; Zuccato L.; Rainero S.; Zanetti A.; Gallon K.; Pacheco G.; Mancuso A.; Kofteros A.; Marathefti M.","2023","Education Sciences","8","Article","EN","The objective of this work is the elaboration of a methodology to develop STEAM projects (Science (S), Technology (T), Engineering (E), Art (A) and Mathematics (M)). The methodology proposed in this article is part of the results of the project ERASMUS+DART4City (2020-1-ES01-KA227-SCH-095545) “Empowering Arts and creativity for the cities of tomorrow”, whose objective is to design a methodology in order to develop STEAM projects from European curricula. The proposed methodology emerges after analysing, among others, the curricula from Spain, Italy, Cyprus, France, Finland and Germany, taking into account the international perspective of STEAM education, their priorities and problems. The proposal has two variants: “forward” and “backward”. Both variants begin with the analysis of the curriculum in which the contents are grouped by similarity, classified according to STEAM disciplines so that the thematic areas can be obtained. Subsequently, in the “forward” variant, the thematic areas with most connections are selected as areas of opportunity; for the development of the STEAM project, so from the “forward” methodology, the teacher will be able to select an area of opportunity and develop the project around it, so, the concept or project idea comes from an area of oportunity. The “backward” variant starts from a concept considered interesting for society or just for the teacher and which will become the main theme of the STEAM project and, from that concept, we will select the thematic areas of the curriculum that can be included in the project. The main difference bewteen both methodologies is that in the “forward” variant, the STEAM project concept comes from an area of oportunity detected in the curriculum meanwhile in the “backward” variant the concept of the STEAM project comes from the teacher, without taking into acount, initially, the curriculum. This article shows an example of application of each variant. From the “forward” variant, the STEAM project “Sustainable City” is shown for years 4, 5 and 6 of Primary Education, which has been carried out from the opportunity area “Sustainability”. From the “backward” variant, we develop the STEAM project, whose main theme is cooking, in which, based on this theme, 10 tests are developed, each of them related to different thematic areas of the ES curriculum. © 2023 by the authors."
"Using Analogue Game Mechanics to Reduce Gender Inequality and Exclusion in Technology Education","Mattsson S.; Palmquist A.; Ulvenblad P.","2023","Handbook of Research on Implementing Inclusive Educational Models and Technologies for Equity and Diversity","0","Book chapter","EN","Technology education has traditionally been male dominated, and many educator providers struggle to both attract and keep females related to education. Gamification, the use of game elements in a nongame context, has been shown to increase student engagement and inclusion in the learning environment. However, the gamification design and development process has been declared resource-demanding, which has reduced the more tailored approaches resulting in more generic ones. This is contradictory to the findings that gamification designs, especially in instruction, are context dependent. Therefore, this chapter displays an analogue gamification approach that is applied in a real-life environment, a technology vocational school, supporting the teachers’ combat of gender inequality and expediting diversity and inclusion. © 2023 by IGI Global. All rights reserved."
"Revolutionizing education: using computer simulation and cloud-based smart technology to facilitate successful open learning","Papadakis S.; Kiv A.E.; Kravtsov H.M.; Osadchyi V.V.; Marienko M.V.; Pinchuk O.P.; Shyshkina M.P.; Sokolyuk O.M.; Mintii I.S.; Vakaliuk T.A.; Striuk A.M.; Semerikov S.O.","2023","CEUR Workshop Proceedings","27","Conference paper","EN","The article presents the proceedings of two workshops: Cloud-based Smart Technologies for Open Education Workshop (CSTOE 2022) and Illia O. Teplytskyi Workshop on Computer Simulation in Education (CoSinE 2022) held in Kyiv, Ukraine, on December 22, 2022. The CoSinE workshop focuses on computer simulation in education, including topics such as computer simulation in STEM education, AI in education, and modeling systems in education. The CSTOE workshop deals with cloud-based learning resources, platforms, and infrastructures, with topics including personalized learning and research environment design, big data and smart data in open education and research, machine learning for open education and research, and more. The article includes a summary of successful cases and provides directions for future research in each workshop's respective topics of interest. The proceedings consist of several peer-reviewed papers that present a state-of-the-art overview and provide guidelines for future research. The joint program committee consisted of members from universities and research institutions worldwide.  © 2023 Copyright for this paper by its authors."
"SCRATCH to R: Toward an Inclusive Pedagogy in Teaching Coding","Liao S.-M.","2023","Journal of Statistics and Data Science Education","9","Article","EN","SCRATCH, developed by the Media Lab at MIT, is a kid-friendly visual programming language, designed to introduce programming to children and teens in a “more thinkable, more meaningful, and more social” way. Although it was initially intended for K-12 students, educators have used it for higher education as well, and found it particularly helpful for those who haven’t had the privilege of learning coding before college. In this article, we propose using SCRATCH to create an interactive and fun project for introduction as a gateway to learn R in introductory or intermediate statistics courses. We begin with a literature review on recent K-12 computing education, as well as how visual coding has been used in college classrooms as an aid for teaching syntax-based coding. Then, we explain the design of the proposed project and share the observations from a pilot study in a liberal arts college with 39 students who had diverse coding experiences. We find that the most disadvantaged students are not those with no coding experience, but those with poor prior coding experience or with low coding self-efficacy. This innovative SCRATCH-to-R approach also offers us a pathway toward an inclusive pedagogy in teaching coding. © 2022 The Author(s). Published with license by Taylor & Francis Group, LLC."
"Open Tools for Data Literacy Development at School. A Case of Systemic and Experience Design Approach to Civic Tech Education","Cangiano S.","2023","Lecture Notes in Networks and Systems","0","Conference paper","EN","As technology literacy is recognized as a crucial 21st-century skill to confront the challenges of the rapidly approaching digital transformation, a significant concern within formal educational settings revolves around how to effectively train young students. The objective is to move beyond the confines of traditional computer science teaching methods that solely rely on keyboards and mice. Instead, the focus should be on fostering explorative and creative activities that emphasize the collection and utilization of data. This paper presents the methodological framework of a one-year pilot project. Through a co-design process, the project aimed to address the pressing need for a more comprehensive and innovative approach to developing data literacy in schools. The project achieved this by designing open connected tools, educational resources, and facilitating a collaborative process based on active citizenship. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2023."
"STEAM based music activity example for gifted students: I design my instrument with Scratch and Makey Makey","Özer Z.; Demirbatır R.E.","2023","LUMAT","1","Article","EN","In this study, the aim is to present a STEAM-based music activity for gifted students and to determine the students' awareness of the process at the end of the activity. The study group of the research consists of exceptionally gifted students who applied to STEAM Based Music Activities Workshop in the Halil İnalcık Science and Art Center. Accordingly, we determined the study group of the research as 25 5th grade students studying at Bursa Halil İnalcık Science and Art Centre in the 2023–2024 academic year. At the same time, these students also take information technologies course. We carried out the activity of “I design my instrument with Scratch program and Makey Makey” for a total of 8 hours in 4 weeks, i.e., two hours each week. The activity was prepared in line with the 5E learning model. At the end of the research, we applied the Formative Evaluation Form to the students and obtained data about their awareness of the process. We used the content analysis method to analyze the date. In the research, we determined that the students enjoyed the activity, their interest in music increased, music can be used effectively in different fields, coding studies with music are more fun, and they developed self-confidence by liking their work. In line with the data obtained in the research, the conclusion was that the realisation of music lessons with different fields by using today's technologies has positive effects on students. © 2023 University of Helsinki. All rights reserved."
"SCIENCE, TECHNOLOGY, ENGINEERING, ARTS, AND MATHEMATICS (STEAM) EDUCATION IN THE EARLY YEARS: Achieving the Sustainable Development Goals","Yang W.; Kewalramani S.; Senthil J.","2023","Science, Technology, Engineering, Arts, and Mathematics (Steam) Education in the Early Years: Achieving the Sustainable Development Goals","1","Book","EN","This book provides a fresh perspective on recent debates around integrating STEAM (Science, Technology, Engineering, Arts, and Mathematics) education in early childhood. The book offers inspiration and practical advice for educators and researchers. It suggests concrete ways to engage young children in STEAM learning activities and promote their development. With contributions from international experts, the book discusses how to develop age-appropriate STEAM learning activities for young children. Divided into four parts, the book covers a wide range of topics, including the perceptions and practices of STEAM education among early childhood teachers in different countries, the use of new pedagogies and technologies to promote equitable and accessible STEAM education, the role of teacher education and policy in reducing inequality in STEAM education, and how early STEAM education can promote social change and achieve sustainable development goals. The book highlights the importance of STEAM education in providing young children with the necessary skills to create a more sustainable and equitable world. Overall, this book provides an important contribution to help critique and improve how early childhood educators view and practice STEAM education across cultures. It proposes ideas for achieving sustainable development goals through high-quality early STEAM education. The book appeals to early childhood educators and researchers, as it draws on cross-cultural viewpoints to critically examine how teachers understand and implement STEAM education across different cultures along with exploring how cultural values and goals shape early STEAM education. © 2024 selection and editorial matter, Weipeng Yang, Sarika Kewalramani and Jyoti Senthil; individual chapters, the contributors."
"Understanding teachers' cross-disciplinary collaboration for STEAM education: Building a digital community of practice","Wu Z.","2022","Thinking Skills and Creativity","13","Article","EN","While creativity was previously considered a specialised ability, over the last 20 years creativity has been reframed as an open set of creative thinking skills and knowledge practices that all teachers can develop through a cross-disciplinary pedagogical approach. STEAM (Science, Technology, Engineering, Arts, and Mathematics) has emerged as a cross-disciplinary learning model which explicitly aims to develop creative thinking skills across and through the disciplines. However, teachers’ lack of tacit knowledge in cross-disciplinary collaboration has created challenges and made it hard to implement STEAM in schools. Inspired by the approach of knowledge management, also known as Community of Practice (CoP), and how industries facilitate tacit knowledge propagation across departments to promote creativity through digital support, this article investigates how a Digital-CoP system may potentially support teachers’ cross-disciplinary collaboration. This paper prototypes a Digital CoP System for real world teachers to evaluate. It uses a mixed methods approach to understand teachers’ cross-disciplinary collaboration perception through a Digital-CoP System from the knowledge propagation perspective and points out the further enhancement of the Digital-CoP System enabling it to promote teachers' cross-disciplinary collaboration across Arts and STEM. © 2022"
"Adventure Alongside AI into STEM Education","Singer S.; Haines B.; Roopaei M.","2023","Proceedings - Frontiers in Education Conference, FIE","1","Conference paper","EN","Artificial intelligence, or AI, refers to the processing of information that simulates human intelligence and is found in various markets, such as biometric identification, virtual assistants, transportation, healthcare, and video games. These applications illustrate the capabilities and impact of AI and demonstrate that the educational system should invest in this technology and motivate students to learn about artificial intelligence and its applications; however, there is a need to make this technology understandable and enjoyable for the new generation. Currently, the topic of AI does not appear in most STEM curriculums not only because of the necessary technological infrastructure but also because of the required mathematical background. This paper is an attempt to develop AI in the STEM education framework through interactive activities. Our project titled 'Adventure Alongside AI' or 'A3I' analyzes the actions of students and reacts with sounds and visuals to illustrate the basic capabilities of AI. The developed platform could target different age groups of students: for younger students, this activity would serve as a motivational tool to discuss AI, and for older students, this activity would serve as an introduction into basic AI development and implementation. Our design platform aims to build upon existing educational constructs by combining the topics of AI and STEM education with gamification. Through this integration, educators can introduce new ways of creative problem-solving using enjoyable, interactive activities with AI. We assessed the design platform with a group of students through a survey that gauged their understanding of the AI embedded in the 'A3I' game activity; the results showed that the majority of students are interested in using this technology more in their classroom. © 2023 IEEE."
"Changes in Craft Education: A Case Study of General Education in Latvia","Urdziņa-Deruma M.","2023","FormAkademisk","0","Article","EN","In Latvia, the aim, content, and name of the subject of craft education have changed several times. The most recent transformation to “craft education” has been made following the general education reform, which has been gradually implemented since 2020. This study aims to investigate how the purpose and content of craft learning in Latvian comprehensive schools have changed as a result of this reform in comparison to the previous period. A qualitative study was carried out by analysing normative documents and interviewing design and technology teachers (N = 9) with at least 10 years of experience. The document analysis shows that the goal of teaching craft education has shifted from using craft as an opportunity to improve the quality of the living environment through creative involvement in techniques to producing valuable objects for oneself and society through the design process. The most significant change in the content is that craft is taught through the design process. Moreover, every pupil learns all the techniques; previously, students chose textile or woodwork and metalwork techniques from grade 5. According to the interviews, the skills acquired in each technique are at a lower level compared to the previous period, as the number of hours allocated to each technique does not allow pupils to pay in-depth attention to the tasks. The products made by the students have also become more straightforward. Finally, more time is spent on idea generation, planning, and evaluation. © 2023, The Assosiation FormAkademisk. All rights reserved."
"The STEAM learning performance and sustainable inquiry behavior of college students in China","Nong L.; Liao C.; Ye J.-H.; Wei C.; Zhao C.; Nong W.","2022","Frontiers in Psychology","6","Article","EN","Teacher education students, as an important reserve in the field of education, their growth and development are related to the future of science, economy, sustainable development of education. Through participation in the educational practice of STEAM, which integrates science, technology, engineering, art, and mathematics is more beneficial for them to acquire 21st century skills like communication, collaboration, learning innovation and critical thinking. However, little has been seen about the use and effectiveness of short videos in STEAM education activities and how they can be used to support and promote teacher education students STEAM learning performance and sustainable inquiry behaviors. Therefore, this study combines the framework of triadic reciprocity determinism theory and technology acceptance theory to propose six research hypotheses and develop a research model to explore the relationship between collaborative self-efficacy (CS-E), perceived usefulness (PU) of short videos, perceived ease of use (PEOU), STEAM learning performance and teacher education students’ sustainable inquiry behavior. To achieve the purpose of this study, this study used purposive sampling and invited teacher education students from five classes of preschool education at a university in Guangxi Zhuang Autonomous Region (GZAR), China, to participate in this study. A total of 8 h of instructional guidance was provided over a four-week period, in which participants used short videos for collaborative group learning and independent inquiry and applied STEAM concepts to kindergarten science activities. Participants’ STEAM performance was measured and surveyed during the fourth week. The results of the study validation showed that (1) teacher education students CS-E had a positive effect on the PU and PEOU of short videos; (2) Teacher’s education students PEOU of short videos had a positive effect on usefulness; (3) Teacher’s education students PU and PEOU of short videos had a positive effect on STEAM learning performance; (4) Teacher’s education students’ STEAM learning performance had a positive effect on sustainable inquiry behavior. Copyright © 2022 Nong, Liao, Ye, Wei, Zhao and Nong."
"Digital Learning Ecosystem Based on the STEAM Gamification Concept to Develop Innovator Characteristics of Vocational Learners","Kummanee J.; Nilsook P.; Piriyasurawong P.; Wannapiroon P.","2023","Lecture Notes in Networks and Systems","0","Conference paper","EN","Developing the manpower to have completeness, including knowledge, skills, attitudes, morals, and ethics. It is an important foundation for the development of the nation for sustainable progress; as shown in the framework of the 13th National Economic and Social Development Plan [1], which aims to develop human resources in all dimensions, and at all ages to become good, competent, qualified, ready for life in the 11th century; The STEAM Education is a model of learning management that focuses on integrating knowledge in the five sciences, namely Science, Technology, Engineering, Art and Mathematics to create a comprehensive body of knowledge for learners; As for the learning process with the Gamification, it is the concept of organizing activities that will encourage learners to participate, create a good learning environment, and promote the characteristics of learners in working as a team, with the principle of the two concepts, if used in planning the development of learning management for vocational students, that focusing on professional skills development will help promote the potential of learners to meet the goals of effective manpower development; therefore, it is the origin of the development of digital learning ecosystems based on the STEAM Gamification concept to develop innovator characteristics of vocational learners, which play an important role in the development of the country, as a guideline for developing learners to have knowledge, skills, good attitude in working in the organization, or entrepreneurship in the future; it also promotes the lifelong learning characteristics of learners, from applying and utilizing the self-development process with the scientific and artistic thought processes that are possible to create innovations for solving problems and developing society and the nation in the future. © 2023, The Author(s), under exclusive license to Springer Nature Switzerland AG."
"Why and how to teach physical computing: Research and practice in computer science education at secondary schools","Grillenberger M.","2023","Teaching Coding in K-12 Schools: Research and Application","0","Book chapter","EN","Physical computing is an attractive topic in computer science classes from elementary school on. With the right tools, children and teenagers actively design, create and program their own interactive objects as tangible products of learning. In physical computing, students acquire basic competences in hardware/software co-design. The focus of computer science (CS) classes is no longer on pure programming activities but shifts towards topics such as the structure and properties of embedded systems, the objectives, requirements and challenges in the design of hardware/software systems and related practices. With physical computing, it is possible to integrate such topics into constructionist and creative learning environments in a very vivid and motivating way. The purpose of this chapter is to provide an overview of what can be understood by the term physical computing from the perspective of computer science education research. In addition, it will be summarized what can be learnt from earlier research about incorporating this topic into teaching and the implications for lesson planning. Guidelines that can contribute to the success of lessons are presented, and their application is illustrated by means of tested, evaluated and revised teaching materials developed for secondary schools. Finally, with 'My Interactive Garden' and 'LEGO Smart City', two exemplary lesson series are described that incorporate the ideas presented in this chapter. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2023. All rights reseverd."
"Directions for inquiry-based teaching in China's new educational era","He J.; Goto K.","2023","New Perspectives in Science Education - International Conference","0","Book chapter","EN","This time, the inquiry-based education that China's new compulsory curriculum standards aim to provide was investigated mainly through a literature review. On 21 April 2022, the Ministry of Education of China announced new compulsory education curriculum standards. In order to solve this situation, the new curriculum standards aim to deepen the reform of basic education and, at the same time, to enable students to grow healthily and happily, and to cultivate human resources with the three qualities required by the State: ideals, skills and responsibility. Three major changes can be seen in this course revision: the focus on key competencies, the emphasis on course synthesis and the practical nurture person. China has recognized the importance of education beyond knowledge learning for several years. In 2020, Shanghai promulgated the Compulsory Education Project-based Teaching Three-Year Plan (2020-2022), which focused on the practice and research of project-based teaching, aiming at creative problem-solving skills, and promoted it in schools across Shanghai. In addition, the Practical Exploratory Discussion on the New Curriculum Standards for Compulsory Education, held on 14 August, stated that the creation of lessons based on the new curriculum standards will require new lesson designs, re-organization of knowledge, curriculum redesign and educational design for students' independent learning. Thus, in the revision, China's desire to cultivate more holistic students, not only those who know only 'knowledge and skills', can be seen. However, at present, there are many difficulties in implementing enquiry-based education in China. According to Ou (2004), first, there has been no such thing as 'student-led lesson design' in CHeducation. Therefore, most of the inquiry-based education up to now has been a class in which students try to solve problems by teachers continuously giving hints that lead to the solution of certain problems, and there were not many situations in which students were able to think. In addition, there is a lot of dissatisfaction with inquiry-based education in the field because teachers do not understand the concept of 'inquiry', do not know what is needed to conduct an inquiry class, and do not understand its meaning. © 2023, Pixel Associazione. All rights reserved."
"STEAM education: review of literature; [El enfoque educativo STEAM: una revisión de la literatura]","García-Fuentes O.; Raposo-Rivas M.; Martínez-Figueira M.-E.","2023","Revista Complutense de Educacion","16","Article","ES","INTRODUCTION. The emergence of the maker movement and DIY philosophy (Do It Yourself) is causing the development of new methodologies, approaches and educational resources that are based on principles such as creation, collaboration and learning by doing. One of these new approaches is STEAM, which is based on the need to bet on science (S), technology (T), engineering (E), arts (A) and mathematics (M) in a cross-cutting and interdisciplinary way, in order to transform learning teaching processes into integrated and creative processes (Yakman, 2008a). METHOD. This work presents a review of literature on studies and research related to the STEAM educational approach, with the aim of obtaining an overview of the scientific literature produced on this between the years 2008-2019. 48 articles have been identified in Scopus, ERIC, Dialnet, GoogleScholar and Research Gate and analyzed 48 articles with a registration sheet prepared for this purpose. RESULTS. The results show that 83.3% of the investigations are of quantitative type, 12.5% qualitative and 4.1% mixed. Being objective the main (39.5%) the development, application and evaluation of proposals STEAM and the thematic recurrent (60.4%) the analysis of the combination of the art with the science, the technology or the mathematics. DISCUSSION. The investigation confirms that STEAM is positioned as an effective approach to increase the creativity, motivation and self-efficacy of students in learning teaching processes, provided that interdisciplinary and the real-life connection of the contents, through research or research methodologies, first. Being the main difficulties for the implementation of STEAM projects, the economic, curricular and temporal limitations. © 2023, Universidad Compultense Madrid. All rights reserved."
"YOUTH CREATED MEDIA ON THE CLIMATE CRISIS: Hear Our Voices","Beach R.; Smith B.E.","2023","Youth Created Media on the Climate Crisis: Hear Our Voices","4","Book","EN","This timely book provides effective methods and authentic examples of teaching about climate change through digital and multimodal media production in the EN Language Arts classroom. The chapters in this edited volume demonstrate the benefits of addressing climate change in the classroom through innovative media production and cover a range of different types of media, including video/digital storytelling, social media, art, music, and writing, with rich resources for instruction in every chapter. Through the engaging ideas and strategies, the contributors equip educators with the critical tools for supporting students’ media production. In so doing, they offer new perspectives on how students can employ media and production techniques to critique the status quo, call for change, and acquire new literacy skills. As the effects of the climate crisis become increasingly visible to the youth population, this book helps foster and support youth agency and activism. Youth Media Creation on the Climate Change Crisis: Hear Our Voices is a necessary text for students, preservice teachers, and educators in literacy education, media studies, social and environmental studies, and STEM education. The eBook+ version of the text features embedded audio and video components as well as interactive links to reflect the multimodal nature of students’ work, spotlighting how youth media production supports the development of students’ critical literacy skills and shapes their voices and identities. © 2024 selection and editorial matter, Richard Beach and Blaine E. Smith."
"CodeToon: Story Ideation, Auto Comic Generation, and Structure Mapping for Code-Driven Storytelling","Suh S.; Zhao J.; Law E.","2022","UIST 2022 - Proceedings of the 35th Annual ACM Symposium on User Interface Software and Technology","22","Conference paper","EN","Recent work demonstrated how we can design and use coding strips, a form of comic strips with corresponding code, to enhance teaching and learning in programming. However, creating coding strips is a creative, time-consuming process. Creators have to generate stories from code (codeĝ†▪story) and design comics from stories (storyĝ†▪comic). We contribute CodeToon, a comic authoring tool that facilitates this code-driven storytelling process with two mechanisms: (1) story ideation from code using metaphor and (2) automatic comic generation from the story. We conducted a two-part user study that evaluates the tool and the comics generated by participants to test whether CodeToon facilitates the authoring process and helps generate quality comics. Our results show that CodeToon helps users create accurate, informative, and useful coding strips in a significantly shorter time. Overall, this work contributes methods and design guidelines for code-driven storytelling and opens up opportunities for using art to support computer science education.  © 2022 ACM."
"Mapping the Research of Technical Teachers’ Pedagogical Beliefs about Science Technology Engineering and Mathematics (STEM) Education","Shamim M.R.H.; Mamun M.A.A.; Raihan M.A.","2022","International Journal of Instruction","4","Article","EN","Science, technology, engineering, and mathematics (STEM) education have become increasingly popular among educators in recent times. Research on STEM education has been shaped by a great number of articles published across the world. This study attempts to objectively examine the STEM education literature on technical teachers’ pedagogical beliefs by analysing the bibliometric data extracted from the two popular scientific databases known as SCOPUS and Web of Science core collection. This paper highlights the current research trends in this domain by identifying the most impactful documents, topics, contributing authors, journals, and countries. A bibliometric review method has been employed to analyse the scientific research published on teachers’ pedagogical beliefs in STEM education. The findings reveal that this field of research is relatively new and began to publish in 1990. Recent trend shows a gradual increase in publications on the domain of teachers’ pedagogical beliefs in STEM education. Online pedagogy such as blended learning and its relevant pedagogical approach i.e., gamification etc. are found to be dominant research themes related to technical teachers’ pedagogical beliefs in STEM education. Also, technology integration, self-efficacy, gender issue etc. are the key research areas that were explored and studied in this domain of research. Developed countries appeared to be the dominating contributors in STEM education research. The findings of this study give insights and quantitatively synthesise the research development on teachers’ pedagogical beliefs in STEM education. © 2022 Eskisehir Osmangazi University. All rights reserved."
"The effects of art design courses in higher vocational colleges based on C-STEAM","Qian C.; Ye J.-H.; Lee Y.-S.","2022","Frontiers in Psychology","3","Article","EN","C-STEAM education is aimed at preserving local culture, while also improving students’ interests and skills in science, technology, engineering, art, and mathematics-related fields. Other goals are to cultivate students to solve complex and practical problems through interdisciplinary thinking or integrate learning subjects with local senses in the context. In the present curriculum implemented in China, STEAM education mainly focuses on K-12 education and kindergarten education, and it is not widely implemented in colleges and universities, and most of the existing courses are carried out in general technical courses such as robotics and 3D printing, and less in design courses, since the concept of STEAM education has just begun to be advocated recently. Nevertheless, STEAM courses are still limited to special educational systems and disciplines, even though these courses have been vigorously promoted in China. Thus, this study designed an innovative higher vocational college curriculum based on the interdisciplinary principle of C-STEAM, using art design as a meta-theme framework and integrating CHlocal culture. A single-subject quasi-experimental design method was used. A total of 45 students majoring in art design in a higher vocational college were invited to participate in this study. The teaching experiment lasted for 9 weeks. Through teachers’ teaching and, demonstration and students’ independent learning of C-STEAM knowledge in the field of art and design, the concept of C-STEAM was introduced to the creation of packaging design. At the same time, a model composed of six hypotheses was constructed, using the creative self-efficacy scale, learning engagement scale, and creative performance assessment as measurement methods, to discuss students’ participation in the art and design courses of higher vocational colleges based on the concept of C-STEAM integration of creative self-efficacy, learning engagement, and creative performance over time. The results showed that students with higher creative self-efficacy had higher learning engagement (cognitive, affective, and behavioral), and students with higher learning engagement performed better in terms of creative performance. The results of this study can help researchers and educators to focus on C-STEAM courses and provide suggestions for the cultivation of art and design professionals in higher vocational colleges. Copyright © 2022 Qian, Ye and Lee."
"The exploration of continuous learning intention in STEAM education through attitude, motivation, and cognitive load","Wu C.-H.; Liu C.-H.; Huang Y.-M.","2022","International Journal of STEM Education","50","Article","EN","Background: This study proposes a learning cycle and a comprehensive research framework that integrates Bloom’s taxonomy: the cognitive domain (cognitive load), affective domain (attitude and motivation) and psychomotor domain (implementation of science, technology, engineering, arts, and math [STEAM] activities) to explore the relationship between these learning domains and learning intention. The proposed innovative mediated-moderation model includes second-order factors derived from the technology acceptance model (TAM) (perceived usefulness, perceived ease of use, and perceived enjoyment), the attention, relevance, confidence and satisfaction (ARCS) model, and cognitive load (mental load and mental effort) to explain the continuous learning intention of STEAM education. Results: A teaching material was designed for the STEAM activity, and an empirical experiment was subsequently conducted. The empirical experiment of STEAM activities with our design teaching material (micro:bit with artificial intelligence-based concept) was conducted at a university and an elementary school; a total of 145 questionnaire survey data were collected after the activities. University student participants were 20–24 years old and the elementary school student participants were at the K5–K6 level. The results showed that perceived usability directly influenced learning intention and strengthened the relationship between learning attitudes and intention. The ARCS plays a critical moderating role that positively influenced perceived usability and strengthened its effects on learning attitudes. Regarding the mediating effects, cognitive load negatively influenced perceived usability. Conclusions: The findings of this study revealed that critical factors affect students’ learning attitudes and intentions regarding STEAM education. The theoretical and educational implications of these findings were proposed to future instructors. © 2022, The Author(s)."
"Community Embedded Computing Education: Shaping Young People's Perceptions of Self-confidence and Personal Expression with Computer Science in a Youth Boxing Gym","Lachney M.; Yadav A.; Drazin M.; Green B.","2023","SIGCSE 2023 - Proceedings of the 54th ACM Technical Symposium on Computer Science Education","4","Conference paper","EN","Efforts in the United States to broaden the participation of racial and ethnic minorities in K12 computer science (CS) education often focus on the need for children to change themselves to meet the standards and norms of traditional computing education. Less attention has been paid to how CS education itself might change and adapt to cultural contexts and locations that children already participate in and find of value. In this paper, we describe efforts to change the shape and culture of CS education by designing and implementing it in and for a youth boxing gym in an African American community. We report findings from a boxing inspired CS curriculum that was designed in collaboration with boxing coaches, mentors, and academic staff members at the gym. It was piloted over the course of two six-hour workshops with 15 middle and high school age children. We focused on two issues that are relevant to broadening participation and reshaping the culture of CS education: (1) how the curriculum changed children's perceptions of CS and (2) the creative adaptations that children made to the curricular content and materials. An analysis of pre- and post-surveys using a nonparametric test showed significant positive changes in children's responses to the constructs of self-confidence and expression with CS. Vignettes of children appropriating and personalizing technologies from the workshops are used to unpack these findings. We end with a discussion about the implications of these findings for culture-based CS education in both school and community contexts. © 2023 ACM."
"How to Prepare High-Level Massive Online Open Courses for the Metaverse: Tools and Needs †","Iacono S.; Vercelli G.","2023","Engineering Proceedings","1","Article","EN","The adoption of methodologies and practices from distance learning (MOOC) and gamification is a promising basis to facilitate the design of a new generation of MOOCs (massive online open courses) and well suited for XR-based immersive shared social spaces, i.e., educational metaverses. Therefore, we discuss the tools and requirements to assist teachers to acquire two levels of competence, “beginner-level creator” and “advanced-level creator”, within the current ecosystem of metaverses. The adoption of such tools and XR platforms within STEM university educational settings is discussed to introduce the novel concept of the edu-metaverse. © 2023 by the authors."
"STEAM Education and Innovation Learning Towards Circular Strategies","Khanom N.F.","2023","Sustainable Development Goals Series","0","Book chapter","EN","In these times of climate crisis, we must focus more on developing various educational and training programmes to teach circular strategies and business transformation to build the adaptive competence of future talent and support the circular transformation of product and service design. Combining STEAM (science, technology, engineering, arts, and mathematics) education and innovative learning can create an ecosystem for green enterprises and sustainable development. Developing countries facing climate change challenges in this fourth industrial revolution (4IR) era need skilled workforces to create inventive solutions. The education system needs to develop human capital to find better solutions to the problems of climate change that can be undertaken with limited resources and that can meet the Sustainable Development Goals (SDGs). This chapter explores how STEAM education and innovation learning can raise awareness of the circular economy and help young people take responsibility for tackling climate issues. Based on the analysis of available data, documents, journals, and reports, the qualitative study described in this chapter explores the need for specific educational approaches to survive changes to our climate and create green businesses for a sustainable future. The research findings reveal that STEAM education and innovation learning can lead to responsible enterprises able to implement circular strategies to drive sustainable development in developing countries. © The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd. 2023."
"Creative Teaching STEM Module: High School Students' Perception","Othman O.; Iksan Z.H.; Yasin R.M.","2022","European Journal of Educational Research","10","Article","EN","This study aimed to investigate the impacts of enrolling in the creative teaching module in science, technology, engineering, and mathematics (STEM) education from high school students' perspectives. This study applied a case study and qualitative research approach involving 26 Grade 11 students and 31 Grade 8 students. The creative teaching-STEM (CT-STEM) module, which comprised various activities related to energy literacy in real-world situations for the community's well-being, involved outdoor STEM education activities with the assistance of two science teachers. The CT-STEM module was developed based on the directed creative process model by applying four creative teaching strategies: (i) constructivism learning, (ii) discovery inquiry, (iii) problem-based learning, and (iv) project-based learning. The theme of these out-of-classroom activities is sustainability education, focusing on energy sustainability. The results showed that the planned approaches could positively impact and build students' creativity and create an exciting learning experience. Furthermore, the findings from the open-ended questionnaire instrument, observations, and analysis of the worksheets have shown enhancements in five themes: the development of problem-solving skills with an emphasis on the element of sustainability education, high-level thinking skills, active learning skills, communication skills, and humanity skills. The students also showed an increased interest in STEM as they learned using the CT-STEM module. © 2022 The Author(s)"
